"Bird","day","Square","Dur.hrs"
334,39,14550,0.0744444444444444
334,39,14551,0.0105555555555556
334,39,14557,0.0941666666666667
334,39,14736,0.0636111111111111
334,39,14737,0.0686111111111111
334,39,14742,0.0383333333333333
334,39,14743,0.0555555555555556
334,39,14922,0.00555555555555556
334,39,14923,0.0744444444444444
334,39,14924,0.0519444444444444
334,39,14928,0.0941666666666667
334,39,15109,0.0225
334,39,15110,0.224444444444444
334,39,15111,0.0125
334,39,15113,0.0941666666666667
334,39,15291,0.159444444444444
334,39,15292,0.384722222222222
334,39,15293,0.563611111111111
334,39,15294,0.229444444444444
334,39,15295,0.365
334,39,15298,0.0841666666666667
334,39,15477,0.0291666666666667
